id,name,album_name,artist_ids,danceability,energy,speechiness,acousticness,valence,tempo,duration_ms
2wXS2IXCyBX0WL76LLYT31,CELINE 3X,KMT,5gqmbbfjcikQBzPB5Hv13I,0.677,,0.378,0.162,0.563,138.906,158227
0FDTPGlLjF8SGWSsHyzNBe,pa quererte,pa quererte,2IMZYfNi21MGqxopj9fWx8,0.937,,0.0502,0.61,0.943,132.033,167273
43yYuYeSOOupBHOkH9pRtF,Évidemment,Jeannine,1Yfe3ONJlioHys7jwHdfVm,0.64,0.715,0.0945,0.675,0.397,92.878,198640
3XgGQ1wjo5khvq2UImjyNF,ALL MINE,WASTELAND,3tlXnStJ1fFhdScmQeLpuG,0.617,,0.0315,0.428,0.22,141.967,216063
2AT8iROs4FQueDv2c8q2KE,R U Mine?,AM,7Ln80lUS6He07XvHI8qqHH,0.288,0.758,0.0371,0.00616,0.619,97.094,201726
5bOWPM362XpMa8zn6UR9te,Dépassé,Dépassé,2oOAiE62UgqjCEWTHPdn0F,0.626,0.569,0.0457,0.365,0.419,76.992,172394
0poQY3RMThmIiutOGv3yH3,AUTOMÁTICO,LA NENA DE ARGENTINA,1DxLCyH42yaHKGK3cl5bvG,0.68,0.808,0.224,0.0911,0.868,176.131,175317
4woTEX1wYOTGDqNXuavlRC,Superman,The Eminem Show,"7dGJo4pcD2V6oG8kP0tJRR,5jNmxPYz8QE5rYp4GDil8t",0.802,0.755,0.0564,0.0215,0.58,130.027,350320
4iaNmAvcZ6sPGvgZ6vQQdx,Ahora y Siempre,Ahora y Siempre,"52iwsT98xCoGgiGntTiR7K,39TshGQ7RY8nYrhILYRT1S",0.659,0.629,0.0825,0.716,0.416,118.964,149275
6VAS7m73rDopQe7BdrFMpD,"Tiago PZK: Bzrp Music Sessions, Vol. 48","Tiago PZK: Bzrp Music Sessions, Vol. 48","716NhGYqD1jl2wI1Qkgq36,5Y3MV9DZ0d87NnVm56qSY1",0.657,0.821,0.32,0.459,0.752,96.561,160000
567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),F*CK LOVE 3+: OVER YOU,"2tIP7SsRs7vjIcLrU85W8J,1uNFoZAHBGtllmzznpCI3s",0.591,0.764,0.0483,0.0383,0.478,169.928,141806
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry's House,6KImCVD70vtIoJWnq6nGn3,0.52,,0.0557,0.342,0.662,173.93,167303
4otT81iBBpaf36roGtzT4a,Decrescendo,Mauvais Ordre,1Yfe3ONJlioHys7jwHdfVm,0.681,,0.0398,0.595,0.33,83.47,218587
5b8HD1dJDuPawgS5FjSC2q,Mode AV (feat. Niska & Gazo),Mélo,"3vUMXQ9kPnZAQkMkZZ7Hfh,7CUFPNi1TU8RowpnFRSsZV,5gqmbbfjcikQBzPB5Hv13I",0.684,0.538,0.038,0.352,0.788,144.005,192920
4JBiO7wRnE6ueszEUpo347,Pointless,Pointless,4GNC7GD6oZMSxPGyXy4MNB,0.325,0.59,0.0495,0.0686,0.278,180.449,235752
15wMJJiVpt2ABQw032Rywi,No Me digas Nada,No Me digas Nada,52iwsT98xCoGgiGntTiR7K,0.49,0.692,0.274,0.336,0.484,102.16,148386
539zyjwDE87Cjp1mzRN8H7,N. J Respect R,Ipséité,2UwqpfQtNuhBwviIC0f2ie,0.75,0.432,0.0855,0.452,0.276,127.056,217320
3vKYvbzB7801a5qd47pxkm,APA,PARAÍSO,"0Q8NcsJwoCbZOHHW63su5S,52iwsT98xCoGgiGntTiR7K",0.757,0.738,0.22,0.712,0.753,120.091,199831
1gUwi1o1S9W9P0FQgJdY8s,TRUSTFALL,TRUSTFALL,1KCSPY1glIKqW2TotWuXOR,0.636,0.888,0.0945,0.00162,0.25,122.032,237200
5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,Midnights,06HL4z0CvFAxyc27GXpf02,0.733,,0.08,0.258,0.0976,96.985,202396
3XjvMZqm2AQ8thMCD6w9w2,Mas Rica Que Ayer,Mas Rica Que Ayer,"2R21vXR83lH98kGeO99Y66,2T1aUibqR2QC2sINIDQOAK,64aJYyrXljOodnUG6jvhRD",0.818,0.666,0.0759,0.343,0.529,93.95,199149
